"","X","X.1","BEARID","FREQ","FIX","FIX_DATE_T","LMT_DATE","LMT_TIME","LATITUDE","LONGITUDE","ELEV","TIME","TEMP","FIX_STATUS","SATS_USED","PDOP","NAV","plot","Year","Init48","Trans","UTMe","UTMn","Day","Week","Season","subsample"
"1",1,1,5,580,0,38546.41238,"7/13/2005","09:53",39.1412992,-106.7723683,2474,104,20,"""3D Fix-F1""",6,4.3,"3D","yes",2005,"yes","no",346828.219797,4333952.61017,194,28,"Pre-Hyperphagia","yes"
"2",2,2,5,580,1,38546.41689,"7/13/2005","10:00",39.1413331,-106.7722064,2454,18,22.5,"""3D Fix-F1""",5,4.4,"3D","yes",2005,"yes","no",346842.285933,4333956.09925,194,28,"Pre-Hyperphagia","yes"
"4",4,4,5,580,3,38546.43778,"7/13/2005","10:30",39.1412711,-106.7723203,2479,18,24.5,"""3D Fix-F1""",6,3.2,"3D","yes",2005,"yes","no",346832.307415,4333949.41047,194,28,"Pre-Hyperphagia","yes"
"6",6,6,5,580,5,38546.45875,"7/13/2005","11:00",39.1411961,-106.7722947,2478,28,29,"""3D Fix-F1""",5,2.8,"3D","yes",2005,"yes","no",346834.357386,4333941.0434,194,28,"Pre-Hyperphagia","yes"
"7",7,7,5,580,7,38546.47972,"7/13/2005","11:30",39.1414325,-106.7722908,2467,39,28.5,"""3D Fix-F0""",5,3.8,"3D","yes",2005,"yes","no",346835.206908,4333967.27359,194,28,"Pre-Hyperphagia","yes"
"9",9,9,5,580,9,38546.50036,"7/13/2005","12:00",39.1431736,-106.7751161,2421,34,28.5,"""2D Fix-F1""",4,1.7,"2D","yes",2005,"yes","no",346594.803347,4334165.28228,194,28,"Pre-Hyperphagia","yes"
"11",11,11,5,580,11,38546.52112,"7/13/2005","12:30",39.1435411,-106.77475,2494,19,27,"""3D Fix-F6""",5,3.6,"3D","yes",2005,"yes","no",346627.241501,4334205.45023,194,28,"Pre-Hyperphagia","yes"
"13",13,13,5,580,13,38546.54198,"7/13/2005","13:00",39.1433106,-106.7751856,2472,18,28,"""3D Fix-F1""",5,3,"3D","yes",2005,"yes","no",346589.094254,4334180.6047,194,28,"Pre-Hyperphagia","yes"
"15",15,15,5,580,15,38546.56306,"7/13/2005","13:30",39.1436167,-106.7758694,2482,39,27,"""3D Fix-F2""",6,2.5,"3D","yes",2005,"yes","no",346530.661534,4334215.73358,194,28,"Pre-Hyperphagia","yes"
"17",17,17,5,580,17,38546.58353,"7/13/2005","14:00",39.1446506,-106.77591,2477,18,20.5,"""3D Fix-F0""",4,7.5,"3D","yes",2005,"yes","no",346529.39862,4334330.5494,194,28,"Pre-Hyperphagia","yes"
"18",18,18,5,580,21,38546.62521,"7/13/2005","15:00",39.143945,-106.7761747,2439,18,25,"""3D Fix-F1""",5,4.4,"3D","yes",2005,"yes","no",346504.989263,4334252.68634,194,28,"Pre-Hyperphagia","yes"
"20",20,20,5,580,23,38546.64613,"7/13/2005","15:30",39.144,-106.7761339,2459,18,27.5,"""3D Fix-F2""",5,9,"3D","yes",2005,"yes","no",346508.634876,4334258.72148,194,28,"Pre-Hyperphagia","yes"
"22",22,22,5,580,25,38546.66686,"7/13/2005","16:00",39.1441006,-106.7760658,2446,18,28,"""3D Fix-F0""",4,4.9,"3D","yes",2005,"yes","no",346514.738935,4334269.77134,194,28,"Pre-Hyperphagia","yes"
"24",24,24,5,580,27,38546.68822,"7/13/2005","16:31",39.1440614,-106.7761375,2450,53,27.5,"""2D Fix-F0""",3,2.5,"2D","yes",2005,"yes","no",346508.457144,4334265.54204,194,28,"Pre-Hyperphagia","yes"
"26",26,26,5,580,29,38546.7091,"7/13/2005","17:01",39.1439239,-106.7759158,2448,58,28.5,"""2D Fix-F0""",3,4.4,"2D","yes",2005,"yes","no",346527.318744,4334249.90658,194,28,"Pre-Hyperphagia","yes"
"28",28,28,5,580,31,38546.72944,"7/13/2005","17:30",39.1440383,-106.7761058,2461,18,29.5,"""3D Fix-F1""",5,2.8,"3D","yes",2005,"yes","no",346511.146612,4334262.92466,194,28,"Pre-Hyperphagia","yes"
"30",30,30,5,580,35,38546.77175,"7/13/2005","18:31",39.1440008,-106.7761414,2474,71,31,"""2D Fix-F0""",3,5,"2D","yes",2005,"yes","no",346507.98843,4334258.82296,194,28,"Pre-Hyperphagia","yes"
"32",32,32,5,580,37,38546.79192,"7/13/2005","19:00",39.1441097,-106.7760339,2479,18,30.5,"""3D Fix-F1""",6,3,"3D","yes",2005,"yes","no",346517.515641,4334270.72733,194,28,"Pre-Hyperphagia","yes"
"34",34,34,5,580,39,38546.81287,"7/13/2005","19:30",39.1441969,-106.7754919,2377,28,28.5,"""2D Fix-F11""",5,3.3,"2D","yes",2005,"yes","no",346564.547016,4334279.48845,194,28,"Pre-Hyperphagia","yes"
"36",36,36,5,580,41,38546.83352,"7/13/2005","20:00",39.1441719,-106.7763283,2468,18,25,"""3D Fix-F0""",4,5.2,"3D","yes",2005,"yes","no",346492.207462,4334278.12866,194,28,"Pre-Hyperphagia","yes"
"38",38,38,5,580,43,38546.85436,"7/13/2005","20:30",39.1437447,-106.7740414,2474,49,20,"""3D Fix-F0""",4,4,"3D","yes",2005,"yes","no",346688.924085,4334226.84909,194,28,"Pre-Hyperphagia","yes"
"40",40,40,5,580,45,38546.87576,"7/13/2005","21:01",39.1430836,-106.7725747,2489,58,21,"""3D Fix-F1""",6,2.9,"3D","yes",2005,"yes","no",346814.249908,4334150.99971,194,28,"Pre-Hyperphagia","yes"
"42",42,42,5,580,47,38546.89616,"7/13/2005","21:30",39.1430997,-106.7725161,2475,20,26.5,"""3D Fix-F1""",7,2.4,"3D","yes",2005,"yes","no",346819.349353,4334152.68763,194,28,"Pre-Hyperphagia","yes"
"44",44,44,5,580,49,38546.91688,"7/13/2005","22:00",39.14303,-106.7726953,2505,19,29,"""3D Fix-F4""",5,7.4,"3D","yes",2005,"yes","no",346803.710763,4334145.25455,194,28,"Pre-Hyperphagia","yes"
"46",46,46,5,580,51,38546.93804,"7/13/2005","22:30",39.1430908,-106.7725711,2483,40,30.5,"""3D Fix-F1""",6,2.9,"3D","yes",2005,"yes","no",346814.576651,4334151.79272,194,28,"Pre-Hyperphagia","yes"
"48",48,48,5,580,53,38546.95866,"7/13/2005","23:00",39.1431117,-106.7725386,2478,20,32,"""3D Fix-F1""",6,4,"3D","yes",2005,"yes","no",346817.430796,4334154.05743,194,28,"Pre-Hyperphagia","yes"
"50",50,50,5,580,55,38546.97948,"7/13/2005","23:30",39.1430494,-106.7725811,2496,19,33.5,"""3D Fix-F1""",6,4.1,"3D","yes",2005,"yes","no",346813.622633,4334147.21484,194,28,"Pre-Hyperphagia","yes"
"53",53,53,5,580,59,38547.02103,"7/14/2005","00:30",39.1430169,-106.7727217,2514,20,34,"""3D Fix-F0""",5,5.7,"3D","yes",2005,"yes","no",346801.400721,4334143.84523,195,28,"Pre-Hyperphagia","yes"
"55",55,55,5,580,61,38547.04211,"7/14/2005","01:00",39.1431533,-106.7725356,2484,30,35,"""2D Fix-F0""",3,2.3,"2D","yes",2005,"yes","no",346817.780266,4334158.66933,195,28,"Pre-Hyperphagia","yes"
"57",57,57,5,580,63,38547.06293,"7/14/2005","01:30",39.1431228,-106.7725642,2484,29,35.5,"""2D Fix-F0""",3,3,"2D","yes",2005,"yes","no",346815.242368,4334155.33258,195,28,"Pre-Hyperphagia","yes"
"60",60,60,5,580,67,38547.10459,"7/14/2005","02:30",39.14319,-106.7730831,2487,29,33,"""2D Fix-F11""",4,1.6,"2D","yes",2005,"yes","no",346770.541906,4334163.66698,195,28,"Pre-Hyperphagia","yes"
"62",62,62,5,580,69,38547.12543,"7/14/2005","03:00",39.1433508,-106.7725506,2487,29,32.5,"""2D Fix-F0""",3,3.4,"2D","yes",2005,"yes","no",346816.912092,4334180.61413,195,28,"Pre-Hyperphagia","yes"
"64",64,64,5,580,73,38547.16711,"7/14/2005","04:00",39.1428622,-106.7716825,2487,30,29.5,"""2D Fix-F0""",3,3.3,"2D","yes",2005,"yes","no",346890.87901,4334124.9217,195,28,"Pre-Hyperphagia","yes"
"66",66,66,5,580,75,38547.18806,"7/14/2005","04:30",39.1430297,-106.7724158,2486,40,32,"""3D Fix-F5""",5,4.5,"3D","yes",2005,"yes","no",346827.866078,4334144.74936,195,28,"Pre-Hyperphagia","yes"
"68",68,68,5,580,77,38547.20869,"7/14/2005","05:00",39.1431828,-106.7725656,2447,30,33.5,"""2D Fix-F2""",4,1.7,"2D","yes",2005,"yes","no",346815.251462,4334161.99403,195,28,"Pre-Hyperphagia","yes"
"70",70,70,5,580,79,38547.2294,"7/14/2005","05:30",39.1430294,-106.7725069,2505,19,34.5,"""3D Fix-F1""",5,3.9,"3D","yes",2005,"yes","no",346819.992052,4334144.86987,195,28,"Pre-Hyperphagia","yes"
"71",71,71,5,580,81,38547.2502,"7/14/2005","06:00",39.1431944,-106.7725225,2461,20,34.5,"""3D Fix-F4""",5,4.1,"3D","yes",2005,"yes","no",346819.001549,4334163.20868,195,28,"Pre-Hyperphagia","yes"
"73",73,73,5,580,83,38547.27125,"7/14/2005","06:30",39.1427247,-106.7727319,2461,30,31,"""2D Fix-F6""",4,2.8,"2D","yes",2005,"yes","no",346799.885588,4334111.43272,195,28,"Pre-Hyperphagia","yes"
"74",74,74,5,580,85,38547.29215,"7/14/2005","07:00",39.14276,-106.7736139,1951,35,32,"""2D Fix-F0""",3,2.3,"2D","yes",2005,"yes","no",346723.734423,4334116.84014,195,28,"Pre-Hyperphagia","yes"
"76",76,76,5,580,87,38547.31306,"7/14/2005","07:30",39.1439678,-106.7735486,1954,41,30,"""2D Fix-F29""",6,1.8,"2D","yes",2005,"yes","no",346731.998205,4334250.77717,195,28,"Pre-Hyperphagia","yes"
"78",78,78,5,580,89,38547.33374,"7/14/2005","08:00",39.1430297,-106.7725739,2509,30,31,"""2D Fix-F1""",4,2.5,"2D","yes",2005,"yes","no",346814.202185,4334145.01628,195,28,"Pre-Hyperphagia","yes"
"80",80,80,5,580,91,38547.35484,"7/14/2005","08:30",39.1431392,-106.772535,2484,51,32,"""3D Fix-F1""",5,4.9,"3D","yes",2005,"yes","no",346817.801551,4334157.10343,195,28,"Pre-Hyperphagia","yes"
"82",82,82,5,580,93,38547.3753,"7/14/2005","09:00",39.1430539,-106.7725172,2472,19,32.5,"""3D Fix-F2""",5,5.3,"3D","yes",2005,"yes","no",346819.154986,4334147.60638,195,28,"Pre-Hyperphagia","yes"
"83",83,83,5,580,95,38547.39637,"7/14/2005","09:30",39.1426136,-106.7729297,2507,41,33,"""2D Fix-F1""",4,4.2,"2D","yes",2005,"yes","no",346782.549593,4334099.43633,195,28,"Pre-Hyperphagia","yes"
"85",85,85,5,580,97,38547.41686,"7/14/2005","10:00",39.1431261,-106.7726497,2509,19,33.5,"""3D Fix-F2""",6,2.8,"3D","yes",2005,"yes","no",346807.860142,4334155.84319,195,28,"Pre-Hyperphagia","yes"
"87",87,87,5,580,99,38547.43788,"7/14/2005","10:30",39.1432078,-106.7724494,2480,26,33,"""3D Fix-F5""",6,3.1,"3D","yes",2005,"yes","no",346825.3483,4334164.57246,195,28,"Pre-Hyperphagia","yes"
"89",89,89,5,580,101,38547.4586,"7/14/2005","11:00",39.1430775,-106.7721344,2490,24,31,"""3D Fix-F8""",5,2.8,"3D","yes",2005,"yes","no",346852.289864,4334149.5794,195,28,"Pre-Hyperphagia","yes"
"91",91,91,5,580,103,38547.47947,"7/14/2005","11:30",39.1432767,-106.7725808,2428,19,33,"""3D Fix-F1""",5,3.8,"3D","yes",2005,"yes","no",346814.141387,4334172.44116,195,28,"Pre-Hyperphagia","yes"
"92",92,92,5,580,107,38547.52113,"7/14/2005","12:30",39.1424886,-106.7715725,2411,59,31.5,"""2D Fix-F1""",4,1.8,"2D","yes",2005,"yes","no",346899.576291,4334083.2722,195,28,"Pre-Hyperphagia","yes"
"94",94,94,5,580,109,38547.54189,"7/14/2005","13:00",39.1415175,-106.7696044,2647,22,32,"""3D Fix-F0""",4,9,"3D","yes",2005,"yes","no",347067.569927,4333972.17583,195,28,"Pre-Hyperphagia","yes"
"96",96,96,5,580,111,38547.56314,"7/14/2005","13:30",39.1414192,-106.7702481,2478,52,33,"""3D Fix-F1""",5,6.5,"3D","yes",2005,"yes","no",347011.723726,4333962.35122,195,28,"Pre-Hyperphagia","yes"
"98",98,98,5,580,113,38547.58389,"7/14/2005","14:00",39.1414247,-106.7700606,2488,41,33,"""3D Fix-F2""",5,5.3,"3D","yes",2005,"yes","no",347027.940806,4333962.6455,195,28,"Pre-Hyperphagia","yes"
"100",100,100,5,580,115,38547.60457,"7/14/2005","14:30",39.1414008,-106.7702014,2511,41,32,"""3D Fix-F1""",6,3.9,"3D","yes",2005,"yes","no",347015.720055,4333960.23036,195,28,"Pre-Hyperphagia","yes"
"102",102,102,5,580,117,38547.62519,"7/14/2005","15:00",39.1416756,-106.7703633,2535,19,33,"""3D Fix-F0""",5,9.2,"3D","yes",2005,"yes","no",347002.322473,4333991.00193,195,28,"Pre-Hyperphagia","yes"
"104",104,104,5,580,119,38547.64606,"7/14/2005","15:30",39.1415772,-106.770045,2524,19,31.5,"""3D Fix-F4""",5,3.1,"3D","yes",2005,"yes","no",347029.619238,4333979.54436,195,28,"Pre-Hyperphagia","yes"
"106",106,106,5,580,121,38547.66685,"7/14/2005","16:00",39.14144,-106.7701186,2508,19,29.5,"""3D Fix-F0""",4,4.9,"3D","yes",2005,"yes","no",347022.961132,4333964.44135,195,28,"Pre-Hyperphagia","yes"
"108",108,108,5,580,123,38547.68806,"7/14/2005","16:30",39.1413917,-106.7701731,2522,41,27.5,"""2D Fix-F2""",4,1.9,"2D","yes",2005,"yes","no",347018.146254,4333959.17268,195,28,"Pre-Hyperphagia","yes"
"110",110,110,5,580,125,38547.70863,"7/14/2005","17:00",39.1415097,-106.7700986,2502,19,29,"""3D Fix-F1""",5,3.9,"3D","yes",2005,"yes","no",347024.840588,4333972.14326,195,28,"Pre-Hyperphagia","yes"
"112",112,112,5,580,127,38547.72935,"7/14/2005","17:30",39.1415306,-106.7701481,2517,19,29,"""3D Fix-F0""",5,5.2,"3D","yes",2005,"yes","no",347020.607679,4333974.5463,195,28,"Pre-Hyperphagia","yes"
"115",115,115,5,580,131,38547.77109,"7/14/2005","18:30",39.1392253,-106.7705269,2497,28,17.5,"""3D Fix-F0""",4,6.6,"3D","yes",2005,"yes","no",346982.876761,4333719.33216,195,28,"Pre-Hyperphagia","yes"
"117",117,117,5,580,133,38547.79198,"7/14/2005","19:00",39.1376397,-106.7690669,2527,21,17,"""3D Fix-F2""",6,3.7,"3D","yes",2005,"yes","no",347105.634262,4333540.8939,195,28,"Pre-Hyperphagia","yes"
"119",119,119,5,580,135,38547.81277,"7/14/2005","19:30",39.1373133,-106.7665508,2550,21,16.5,"""3D Fix-F2""",6,2.7,"3D","yes",2005,"yes","no",347322.401096,4333500.432,195,28,"Pre-Hyperphagia","yes"
"121",121,121,5,580,137,38547.83352,"7/14/2005","20:00",39.1364317,-106.7663575,2608,21,17,"""3D Fix-F0""",4,5.1,"3D","yes",2005,"yes","no",347337.204024,4333402.26282,195,28,"Pre-Hyperphagia","yes"
"123",123,123,5,580,139,38547.85472,"7/14/2005","20:30",39.1365167,-106.7640206,2627,42,15.5,"""3D Fix-F0""",5,3.6,"3D","yes",2005,"yes","no",347539.374182,4333407.76756,195,28,"Pre-Hyperphagia","yes"
"125",125,125,5,580,143,38547.89627,"7/14/2005","21:30",39.1377608,-106.7683397,2625,32,12,"""2D Fix-F0""",4,5,"2D","yes",2005,"yes","no",347168.749663,4333553.10907,195,28,"Pre-Hyperphagia","yes"
"127",127,127,5,580,145,38547.91698,"7/14/2005","22:00",39.1371744,-106.7684258,2490,21,15,"""3D Fix-F0""",7,6.9,"3D","yes",2005,"yes","no",347160.039584,4333488.17275,195,28,"Pre-Hyperphagia","yes"
"129",129,129,5,580,147,38547.9377,"7/14/2005","22:30",39.1376239,-106.7684883,2533,22,21.5,"""3D Fix-F0""",5,4.9,"3D","yes",2005,"yes","no",347155.609758,4333538.16558,195,28,"Pre-Hyperphagia","yes"
"132",132,132,5,580,151,38547.97984,"7/14/2005","23:30",39.1375372,-106.7684328,2615,54,25.5,"""2D Fix-F1""",4,2.4,"2D","yes",2005,"yes","no",347160.219228,4333528.44973,195,28,"Pre-Hyperphagia","yes"
"134",134,134,5,580,155,38548.02128,"7/15/2005","00:30",39.1391067,-106.7706319,2524,33,28.5,"""3D Fix-F34""",5,4.1,"3D","yes",2005,"yes","no",346973.544741,4333706.34646,196,28,"Pre-Hyperphagia","yes"
"136",136,136,5,580,157,38548.04227,"7/15/2005","01:00",39.1376881,-106.7685589,2558,55,28,"""3D Fix-F1""",5,4.2,"3D","yes",2005,"yes","no",347149.646508,4333545.40971,196,28,"Pre-Hyperphagia","yes"
"138",138,138,5,580,159,38548.06292,"7/15/2005","01:30",39.1377503,-106.7686192,2527,30,31.5,"""2D Fix-F0""",3,3.2,"2D","yes",2005,"yes","no",347144.569193,4333552.41453,196,28,"Pre-Hyperphagia","yes"
"140",140,140,5,580,161,38548.08381,"7/15/2005","02:00",39.1378203,-106.7686358,2559,36,31.5,"""2D Fix-F1""",4,2.1,"2D","yes",2005,"yes","no",347143.285838,4333560.21141,196,28,"Pre-Hyperphagia","yes"
"142",142,142,5,580,163,38548.10435,"7/15/2005","02:30",39.1379681,-106.7687522,2547,20,32.5,"""3D Fix-F0""",4,4.6,"3D","yes",2005,"yes","no",347133.544883,4333576.81102,196,28,"Pre-Hyperphagia","yes"
"143",143,143,5,580,165,38548.12559,"7/15/2005","03:00",39.1378472,-106.7686453,2554,55,29.5,"""3D Fix-F0""",4,7.1,"3D","yes",2005,"yes","no",347142.522921,4333563.2129,196,28,"Pre-Hyperphagia","yes"
"145",145,145,5,580,167,38548.14625,"7/15/2005","03:30",39.1381803,-106.7685814,2554,31,30,"""2D Fix-F0""",3,2.5,"2D","yes",2005,"yes","no",347148.766431,4333600.07422,196,28,"Pre-Hyperphagia","yes"
"148",148,148,5,580,171,38548.18769,"7/15/2005","04:30",39.1379558,-106.7687814,2520,21,31.5,"""3D Fix-F0""",4,4.8,"3D","yes",2005,"yes","no",347130.994466,4333575.4951,196,28,"Pre-Hyperphagia","yes"
"150",150,150,5,580,173,38548.20889,"7/15/2005","05:00",39.1374144,-106.7684406,2568,42,29.5,"""3D Fix-F2""",5,4.5,"3D","yes",2005,"yes","no",347159.279459,4333514.83397,196,28,"Pre-Hyperphagia","yes"
"152",152,152,5,580,175,38548.22961,"7/15/2005","05:30",39.1378742,-106.7694603,2526,32,20,"""2D Fix-F0""",3,3.3,"2D","yes",2005,"yes","no",347072.139316,4333567.58273,196,28,"Pre-Hyperphagia","yes"
"154",154,154,5,580,179,38548.27139,"7/15/2005","06:30",39.1410175,-106.7705242,2479,42,14,"""3D Fix-F2""",6,2.8,"3D","yes",2005,"yes","no",346986.991161,4333918.23427,196,28,"Pre-Hyperphagia","yes"
"156",156,156,5,580,181,38548.29194,"7/15/2005","07:00",39.1401581,-106.7731628,2471,20,12,"""3D Fix-F3""",6,3.7,"3D","yes",2005,"yes","no",346757.078156,4333827.30711,196,28,"Pre-Hyperphagia","yes"
"158",158,158,5,580,183,38548.31278,"7/15/2005","07:30",39.1413433,-106.7774406,2456,20,12,"""3D Fix-F2""",6,3.6,"3D","yes",2005,"yes","no",346389.928057,4333966.07974,196,28,"Pre-Hyperphagia","yes"
"160",160,160,5,580,185,38548.33365,"7/15/2005","08:00",39.1370558,-106.7734231,2511,27,11.5,"""3D Fix-F1""",6,3,"3D","yes",2005,"yes","no",346727.851775,4333483.43911,196,28,"Pre-Hyperphagia","yes"
"162",162,162,5,580,191,38548.39603,"7/15/2005","09:30",39.1314308,-106.7690717,2615,52,18.5,"""3D Fix-F0""",4,7.7,"3D","yes",2005,"yes","no",347091.786573,4332851.81023,196,28,"Pre-Hyperphagia","yes"
"164",164,164,5,580,193,38548.41696,"7/15/2005","10:00",39.1316467,-106.7694144,2588,20,22.5,"""3D Fix-F2""",6,4.3,"3D","yes",2005,"no","no",347062.630808,4332876.34924,196,28,"Pre-Hyperphagia","yes"
"166",166,166,5,580,195,38548.43777,"7/15/2005","10:30",39.1315856,-106.7694097,2588,21,26,"""3D Fix-F1""",5,5.5,"3D","yes",2005,"no","no",347062.904869,4332869.56017,196,28,"Pre-Hyperphagia","yes"
"168",168,168,5,580,197,38548.45853,"7/15/2005","11:00",39.1304175,-106.7696744,2785,33,24.5,"""3D Fix-F10""",5,4.2,"3D","yes",2005,"no","no",347037.496476,4332740.36533,196,28,"Pre-Hyperphagia","yes"
"171",171,171,5,580,201,38548.50076,"7/15/2005","12:01",39.1326861,-106.7691592,2786,61,27,"""2D Fix-F0""",3,3.4,"2D","yes",2005,"no","no",347086.938893,4332991.27647,196,28,"Pre-Hyperphagia","yes"
"173",173,173,5,580,203,38548.52105,"7/15/2005","12:30",39.1331983,-106.7688175,2785,29,27.5,"""2D Fix-F1""",4,1.8,"2D","yes",2005,"no","no",347117.582783,4333047.54701,196,28,"Pre-Hyperphagia","yes"
"175",175,175,5,580,205,38548.54205,"7/15/2005","13:00",39.13303,-106.7684561,2500,58,28.5,"""2D Fix-F13""",4,2.1,"2D","yes",2005,"no","no",347148.457369,4333028.25954,196,28,"Pre-Hyperphagia","yes"
"178",178,178,5,580,209,38548.5842,"7/15/2005","14:01",39.1313194,-106.7576014,2623,100,29.5,"""3D Fix-F1""",5,3.2,"3D","yes",2005,"no","no",348083.03696,4332820.18294,196,28,"Pre-Hyperphagia","yes"
"180",180,180,5,580,213,38548.62545,"7/15/2005","15:00",39.1297175,-106.7567775,2673,32,29.5,"""2D Fix-F1""",4,1.7,"2D","yes",2005,"no","no",348150.813459,4332641.01834,196,28,"Pre-Hyperphagia","yes"
"181",181,181,5,580,215,38548.64631,"7/15/2005","15:30",39.1296639,-106.7569689,2673,40,29.5,"""2D Fix-F1""",4,2.1,"2D","yes",2005,"no","no",348134.153346,4332635.38984,196,28,"Pre-Hyperphagia","yes"
"185",185,185,5,580,221,38548.70941,"7/15/2005","17:01",39.1275247,-106.7575742,2682,95,28.5,"""3D Fix-F1""",5,3.9,"3D","yes",2005,"no","no",348077.232678,4332398.98534,196,28,"Pre-Hyperphagia","yes"
"190",190,190,5,580,229,38548.79186,"7/15/2005","19:00",39.1264886,-106.7500147,2756,25,22.5,"""3D Fix-F0""",4,7.6,"3D","yes",2005,"no","no",348728.492336,4332271.36808,196,28,"Pre-Hyperphagia","yes"
"192",192,192,5,580,233,38548.8338,"7/15/2005","20:00",39.1274428,-106.75157,2770,31,20.5,"""2D Fix-F0""",3,3.2,"2D","yes",2005,"no","no",348596.086993,4332379.86251,196,28,"Pre-Hyperphagia","yes"
"194",194,194,5,580,235,38548.85499,"7/15/2005","20:31",39.1271117,-106.7472122,2630,85,19,"""3D Fix-F2""",5,2.9,"3D","yes",2005,"no","no",348972.087451,4332335.85516,196,28,"Pre-Hyperphagia","yes"
"195",195,195,5,580,239,38548.89672,"7/15/2005","21:31",39.1271147,-106.7446206,2671,68,20,"""3D Fix-F1""",5,6.7,"3D","yes",2005,"no","no",349196.124365,4332331.87886,196,28,"Pre-Hyperphagia","yes"
"198",198,198,5,580,245,38548.9586,"7/15/2005","23:00",39.1257722,-106.7431619,2692,19,23.5,"""3D Fix-F2""",5,4.3,"3D","yes",2005,"no","no",349319.360064,4332180.46008,196,28,"Pre-Hyperphagia","yes"
"200",200,200,5,580,247,38548.97938,"7/15/2005","23:30",39.1256,-106.7431564,2706,40,25,"""3D Fix-F1""",5,4.2,"3D","yes",2005,"no","no",349319.468501,4332161.33949,196,28,"Pre-Hyperphagia","yes"
"202",202,202,5,580,249,38549.00023,"7/16/2005","00:00",39.1257203,-106.7433114,2744,19,23,"""3D Fix-F1""",5,4.3,"3D","yes",2005,"no","no",349306.325688,4332174.94821,197,28,"Pre-Hyperphagia","yes"
"204",204,204,5,580,251,38549.02122,"7/16/2005","00:30",39.1258728,-106.7431564,2691,27,25.5,"""3D Fix-F1""",5,3.6,"3D","yes",2005,"no","no",349320.049934,4332191.61594,197,28,"Pre-Hyperphagia","yes"
"206",206,206,5,580,255,38549.06269,"7/16/2005","01:30",39.1256975,-106.7425203,2506,18,26,"""3D Fix-F0""",4,2,"3D","yes",2005,"no","no",349374.664969,4332171.10462,197,28,"Pre-Hyperphagia","yes"
"208",208,208,5,580,257,38549.08353,"7/16/2005","02:00",39.1258361,-106.7432056,2672,20,25,"""3D Fix-F0""",4,4.5,"3D","yes",2005,"no","no",349315.718551,4332187.62451,197,28,"Pre-Hyperphagia","yes"
"210",210,210,5,580,259,38549.10461,"7/16/2005","02:30",39.1260822,-106.7428183,2588,30,23.5,"""2D Fix-F0""",3,4.3,"2D","yes",2005,"no","no",349349.723668,4332214.29476,197,28,"Pre-Hyperphagia","yes"
"212",212,212,5,580,261,38549.12556,"7/16/2005","03:00",39.125265,-106.7437797,2590,40,26,"""3D Fix-F0""",5,3.7,"3D","yes",2005,"no","no",349264.872023,4332125.19478,197,28,"Pre-Hyperphagia","yes"
"214",214,214,5,580,263,38549.14612,"7/16/2005","03:30",39.1258558,-106.7432164,2687,19,27,"""3D Fix-F1""",5,4,"3D","yes",2005,"no","no",349314.826919,4332189.82882,197,28,"Pre-Hyperphagia","yes"
"216",216,216,5,580,265,38549.16698,"7/16/2005","04:00",39.1257853,-106.7431814,2660,19,30,"""3D Fix-F1""",5,6.9,"3D","yes",2005,"no","no",349317.702279,4332181.94634,197,28,"Pre-Hyperphagia","yes"
"218",218,218,5,580,267,38549.18794,"7/16/2005","04:30",39.1257628,-106.7433797,2676,30,31.5,"""2D Fix-F0""",4,2.4,"2D","yes",2005,"no","no",349300.511983,4332179.77843,197,28,"Pre-Hyperphagia","yes"
"220",220,220,5,580,271,38549.23007,"7/16/2005","05:31",39.1285894,-106.7436114,2745,70,19,"""2D Fix-F0""",3,3.6,"2D","yes",2005,"no","no",349286.508575,4332493.87075,197,28,"Pre-Hyperphagia","yes"
"222",222,222,5,580,273,38549.2509,"7/16/2005","06:01",39.1295494,-106.7466697,2740,70,16.5,"""2D Fix-F0""",4,3.1,"2D","yes",2005,"no","no",349024.190167,4332605.4986,197,28,"Pre-Hyperphagia","yes"
"224",224,224,5,580,275,38549.27102,"7/16/2005","06:30",39.1295667,-106.7500175,2648,40,14.5,"""3D Fix-F0""",4,4.8,"3D","yes",2005,"no","no",348734.836975,4332612.99312,197,28,"Pre-Hyperphagia","yes"
"227",227,227,5,580,279,38549.31286,"7/16/2005","07:30",39.1296,-106.7539511,2610,23,13.5,"""3D Fix-F1""",5,6.4,"3D","yes",2005,"no","no",348394.880462,4332623.25247,197,28,"Pre-Hyperphagia","yes"
"229",229,229,5,580,283,38549.35473,"7/16/2005","08:30",39.1309908,-106.7557625,2605,52,15.5,"""3D Fix-F0""",4,5.8,"3D","yes",2005,"no","no",348241.285628,4332780.63685,197,28,"Pre-Hyperphagia","yes"
"231",231,231,5,580,285,38549.3753,"7/16/2005","09:00",39.1301464,-106.7551292,2604,30,17.5,"""2D Fix-F1""",4,3.1,"2D","yes",2005,"no","no",348294.215937,4332685.86291,197,28,"Pre-Hyperphagia","yes"
"233",233,233,5,580,287,38549.39674,"7/16/2005","09:31",39.1293842,-106.7570433,2632,100,17.5,"""3D Fix-F0""",4,7.4,"3D","yes",2005,"no","no",348127.121131,4332604.47204,197,28,"Pre-Hyperphagia","yes"
"236",236,236,5,580,291,38549.4377,"7/16/2005","10:30",39.1288169,-106.7577392,2682,19,26,"""3D Fix-F0""",4,4.8,"3D","yes",2005,"no","no",348065.74668,4332542.67541,197,28,"Pre-Hyperphagia","yes"
