crop,d_cover,d_roads,animal_id,use,roaddist,BinRoad,NewDate,Season,cropnew,std_cover,std_roads
1,84.85281374,335.4101966,647572A,1,333.4470889,200-400,10/20/2011 0:00,winter2012,1,-0.038770589,-0.135023776
5,30,90,647572A,1,89.2964431,0-200,10/20/2011 3:00,winter2012,3,-0.475695447,-0.914260606
5,30,90,647572A,1,99.8896449,0-200,10/20/2011 6:00,winter2012,3,-0.475695447,-0.914260606
4,0,150,647572A,1,167.722665,0-200,10/20/2011 9:00,winter2012,2,-0.714657587,-0.72374607
5,30,90,647572A,1,88.37315518,0-200,10/20/2011 12:00,winter2012,3,-0.475695447,-0.914260606
4,0,390,647572A,1,395.7034503,400-600,10/20/2011 15:00,winter2012,2,-0.714657587,0.038312075
4,0,417.8516483,647572A,1,412.5680011,400-600,10/20/2011 18:01,winter2012,2,-0.714657587,0.126747806
4,0,458.9117562,647572A,1,485.320286,400-600,10/20/2011 21:00,winter2012,2,-0.714657587,0.257123597
2,216.3330765,210,647572A,1,215.334501,200-400,10/21/2011 0:00,winter2012,1,1.008522911,-0.533231534
2,212.1320344,67.08203932,647572A,1,83.12686498,0-200,10/21/2011 3:00,winter2012,1,0.97505991,-0.987030684
2,300,90,647572A,1,92.15209186,0-200,10/21/2011 6:00,winter2012,1,1.674963814,-0.914260606
2,90,150,647572A,1,144.0142237,0-200,10/21/2011 9:00,winter2012,1,0.002228833,-0.72374607
1,30,30,647572A,1,28.46515929,0-200,10/21/2011 12:00,winter2012,1,-0.475695447,-1.104775143
5,30,276.5863337,647572A,1,283.8215381,200-400,10/21/2011 15:00,winter2012,3,-0.475695447,-0.321803792
4,0,483.7354649,647572A,1,485.7871401,400-600,10/21/2011 18:00,winter2012,2,-0.714657587,0.335944886
5,30,453.9823785,647572A,1,481.9104143,400-600,10/21/2011 21:00,winter2012,3,-0.475695447,0.241471628
2,30,268.3281573,647572A,1,261.9396399,200-400,10/22/2011 0:00,winter2012,1,-0.475695447,-0.348025503
2,94.86832981,120,647572A,1,141.0792418,0-200,10/22/2011 3:00,winter2012,1,0.04100705,-0.819003338
1,161.5549442,150,647572A,1,146.0241641,0-200,10/22/2011 6:00,winter2012,1,0.57219292,-0.72374607
5,212.1320344,0,647572A,1,9.277979768,0-200,10/22/2011 9:00,winter2012,3,0.97505991,-1.200032411
5,60,90,647572A,1,98.23030978,0-200,10/22/2011 12:00,winter2012,3,-0.236733307,-0.914260606
5,42.42640687,360,647572A,1,362.7116523,200-400,10/22/2011 15:00,winter2012,3,-0.376714088,-0.056945193
5,67.08203932,360,647572A,1,355.772379,200-400,10/22/2011 18:01,winter2012,3,-0.180321998,-0.056945193
