CatID,Sex,Age,ReprodStat,Season,Photoperiod,DateGMT,TimeGMT,DateTimeET,DateTimeET2,DateET2,TIMEET2,TTF,Zone,X,Y
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060224 1803,2006 2 24,1803,NA,17,499224.7914,2906126.078
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060225 104,2006 2 25,104,NA,17,499585.9693,2906179.291
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060225 1503,2006 2 25,1503,NA,17,499499.1617,2905907.144
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060225 2204,2006 2 25,2204,NA,17,499352.1184,2906042.449
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060226 1904,2006 2 26,1904,NA,17,499270.8514,2906071.422
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060227 204,2006 2 27,204,NA,17,499200.4629,2905917.669
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060227 1603,2006 2 27,1603,NA,17,499498.1798,2906073.817
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060227 2304,2006 2 27,2304,NA,17,500075.5902,2905646.474
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060228 2004,2006 2 28,2004,NA,17,499380.8972,2905909.233
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060301 304,2006 3 1,304,NA,17,499441.2572,2905966.403
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060301 1004,2006 3 1,1004,NA,17,499308.0729,2906140.223
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060301 1704,2006 3 1,1704,NA,17,499349.1029,2905928.813
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060302 004,2006 3 2,4,NA,17,499778.2034,2905788.975
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060302 704,2006 3 2,704,NA,17,499361.9141,2906002.238
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060302 1404,2006 3 2,1404,NA,17,499303.1274,2905962.302
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060302 2103,2006 3 2,2103,NA,17,499533.2948,2906168.162
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060303 404,2006 3 3,404,NA,17,499486.1836,2905962.101
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060303 1104,2006 3 3,1104,NA,17,499116.2386,2905561.439
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060304 103,2006 3 4,103,NA,17,499528.2386,2905857.682
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060304 1503,2006 3 4,1503,NA,17,499194.1576,2906210.116
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060304 2204,2006 3 4,2204,NA,17,499638.105,2906827.546
