DateTimeAnimalID,id,Serial,Acq_Time,Acq_ST,GPSFixTime,GPSFixAtt,Lat,Long,UTM_Zone,Y,X,GPS_Alt,GPS_Speed,GPSHeading,GPSHorizEr,GPS_PD,GPS_SB,GPS_SC,GPS_NT,Pre_Data,Error
D122011.08.12 15:01:04,D12,647571A,2011.08.12 15:01:53,2011.08.12 15:01:04,2011.08.12 15:01:53,Succeeded (3D),40.584446,-105.149108,13T,4492639,487381,1564,0.04,0.7,27,1.7,0x40489240,7,49,Yes,
D122011.08.12 16:01:04,D12,647571A,2011.08.12 16:01:34,2011.08.12 16:01:04,2011.08.12 16:01:34,Succeeded (3D),40.584481,-105.148934,13T,4492643,487396,1569,0.01,0.7,15.5,2.1,0x00489264,8,30,Yes,
D122011.08.12 17:01:04,D12,647571A,2011.08.12 17:01:30,2011.08.12 17:01:04,2011.08.12 17:01:30,Succeeded (3D),40.584527,-105.149193,13T,4492648,487374,1565,0.05,0.7,7.46,2.3,0x00409264,7,26,Yes,
D122011.08.12 18:01:04,D12,647571A,2011.08.12 18:01:57,2011.08.12 18:01:04,2011.08.12 18:01:57,Succeeded (3D),40.584534,-105.149006,13T,4492649,487390,1580,0.03,0.7,13.55,1.4,0x0A4012E4,9,53,Yes,
D122011.08.12 21:00:00,D12,647571A,2011.08.12 21:00:34,2011.08.12 21:00:00,2011.08.12 21:00:34,Succeeded (3D),40.584517,-105.149022,13T,4492647,487389,1576,0.04,0.7,15.4,1.7,0x0A0144C0,7,34,No,
D122011.08.13 00:00:00,D12,647571A,2011.08.13 00:00:47,2011.08.13 00:00:00,2011.08.13 00:00:47,Succeeded (3D),40.584556,-105.148994,13T,4492651,487391,1568,0.05,0.7,17.05,2.1,0x01010B0A,7,47,No,
D122011.08.13 03:00:00,D12,647571A,2011.08.13 03:00:42,2011.08.13 03:00:00,2011.08.13 03:00:42,Succeeded (3D),40.584552,-105.148924,13T,4492651,487397,1579,0.04,0.7,18.75,2.7,0x11000A12,6,42,No,
D122011.08.13 06:00:00,D12,647571A,2011.08.13 06:00:41,2011.08.13 06:00:00,2011.08.13 06:00:41,Succeeded (3D),40.584575,-105.149008,13T,4492653,487390,1581,0.03,0.7,19.13,3.7,0x0212C020,6,41,No,
D122011.08.13 09:00:00,D12,647571A,2011.08.13 09:00:36,2011.08.13 09:00:00,2011.08.13 09:00:36,Succeeded (3D),40.584694,-105.148948,13T,4492666,487395,1556,0.02,0.7,5.61,1.5,0x40362524,10,36,No,
D122011.08.13 12:00:00,D12,647571A,2011.08.13 12:00:37,2011.08.13 12:00:00,2011.08.13 12:00:37,Succeeded (3D),40.584597,-105.148898,13T,4492656,487399,1568,0.01,0.7,18.61,2.4,0x41A82000,6,37,No,
